timestamp_sec,person_lat,person_lon,drone_lat,drone_lon,error_meters
1771590332.833364725,28.753560712,77.115665420,28.753562000,77.115655200,1.0066
1771590332.866742849,28.753560452,77.115665270,28.753562000,77.115655200,0.9966
1771590332.900120735,28.753559872,77.115665046,28.753562000,77.115655200,0.9886
1771590332.933499098,28.753559888,77.115664913,28.753562000,77.115655200,0.9756
1771590333.067011833,28.753560193,77.115663980,28.753562000,77.115655200,0.8791
1771590333.100390911,28.753560786,77.115662761,28.753562400,77.115654700,0.8061
1771590333.133769274,28.753560976,77.115662281,28.753562400,77.115654700,0.7558
1771590333.267280102,28.753562183,77.115661272,28.753562400,77.115654700,0.6411
1771590333.300652504,28.753562246,77.115661022,28.753562400,77.115654700,0.6165
1771590333.334025145,28.753561866,77.115658420,28.753563000,77.115654200,0.4302
1771590333.367397785,28.753561970,77.115658282,28.753563000,77.115654200,0.4141
1771590333.400770187,28.753562041,77.115657859,28.753563000,77.115654200,0.3723
1771590334.802491665,28.753559808,77.115658768,28.753563000,77.115654200,0.5695
1771590334.869246483,28.753561219,77.115658588,28.753562900,77.115652700,0.6036
1771590334.936001778,28.753561271,77.115659746,28.753562900,77.115652700,0.7104
1771590334.969379187,28.753561126,77.115660247,28.753562900,77.115652700,0.7617
1771590335.136267424,28.753558396,77.115667102,28.753562500,77.115653800,1.3747
1771590335.169645071,28.753558271,77.115667231,28.753562500,77.115653800,1.3912
1771590335.203023672,28.753558357,77.115667243,28.753562500,77.115653800,1.3891
1771590335.303150177,28.753558876,77.115666791,28.753562500,77.115653800,1.3289
1771590335.503387928,28.753558442,77.115666702,28.753562400,77.115654600,1.2592
1771590335.636879683,28.753558592,77.115666117,28.753562300,77.115655200,1.1413
1771590335.937236786,28.753559294,77.115665633,28.753561900,77.115655600,1.0201
1771590336.137474060,28.753558083,77.115667677,28.753561500,77.115656000,1.2001
1771590336.170846939,28.753558090,77.115667539,28.753561500,77.115656000,1.1871
1771590336.237592459,28.753558661,77.115667263,28.753561500,77.115656000,1.1424
1771590336.270965576,28.753558424,77.115667128,28.753561500,77.115656000,1.1375
1771590336.304338455,28.753558342,77.115666702,28.753561500,77.115656000,1.1008
1771590336.337711096,28.753558715,77.115666039,28.753561400,77.115656100,1.0139
1771590336.471202850,28.753559228,77.115665155,28.753561400,77.115656100,0.9152
1771590336.504575729,28.753558975,77.115664937,28.753561400,77.115656100,0.9027
1771590336.537948370,28.753559221,77.115664694,28.753561400,77.115656100,0.8721
1771590336.604695320,28.753559623,77.115663522,28.753561400,77.115656200,0.7406
1771590336.671440840,28.753559541,77.115663161,28.753561400,77.115656200,0.7094
1771590336.704813719,28.753559578,77.115663197,28.753561400,77.115656200,0.7116
1771590336.738186598,28.753559574,77.115663267,28.753561400,77.115656200,0.7182
1771590336.771559238,28.753559778,77.115663262,28.753561400,77.115656200,0.7117
1771590336.838304996,28.753559694,77.115663778,28.753561300,77.115656500,0.7317
1771590336.938423634,28.753559980,77.115663691,28.753561300,77.115656500,0.7162
1771590336.971796274,28.753559793,77.115663875,28.753561300,77.115656500,0.7382
1771590338.707184792,28.753564421,77.115653935,28.753562600,77.115654800,0.2194
1771590338.740557671,28.753564160,77.115653856,28.753562600,77.115654800,0.1964
1771590338.907421350,28.753563404,77.115657618,28.753562500,77.115654900,0.2834
1771590339.074285269,28.753564729,77.115657514,28.753562500,77.115654900,0.3555
1771590339.107657909,28.753564403,77.115656930,28.753562400,77.115655200,0.2794
1771590339.341268063,28.753563669,77.115657355,28.753562000,77.115655500,0.2591
1771590339.374641180,28.753563477,77.115657542,28.753562000,77.115655500,0.2580
1771590339.408015490,28.753563261,77.115657753,28.753562000,77.115655500,0.2606
1771590339.441388369,28.753563391,77.115657752,28.753562000,77.115655500,0.2685
1771590339.608254194,28.753562565,77.115659665,28.753561500,77.115655800,0.3949
1771590339.708373547,28.753562482,77.115659677,28.753561500,77.115655800,0.3934
1771590339.741746902,28.753562451,77.115659506,28.753561500,77.115655800,0.3765
1771590340.008731604,28.753560978,77.115660227,28.753561200,77.115655900,0.4226
1771590340.175598145,28.753562979,77.115659229,28.753561200,77.115656000,0.3718
1771590342.111222744,28.753564131,77.115655345,28.753562300,77.115654800,0.2104
1771590342.144595385,28.753563933,77.115655663,28.753562300,77.115654800,0.2001
1771590342.311460495,28.753563478,77.115656935,28.753562300,77.115654800,0.2459
1771590342.578443289,28.753562475,77.115658595,28.753561900,77.115654700,0.3850
1771590342.611816168,28.753562590,77.115658551,28.753561900,77.115654700,0.3832
1771590342.645189047,28.753562633,77.115658829,28.753561900,77.115654700,0.4107
1771590342.812052965,28.753561882,77.115658863,28.753561700,77.115654800,0.3966
1771590342.845425844,28.753561819,77.115659025,28.753561700,77.115654800,0.4121
1771590342.878798485,28.753561737,77.115659357,28.753561700,77.115654800,0.4443
1771590342.912172318,28.753561935,77.115659387,28.753561700,77.115654800,0.4479
1771590342.945545197,28.753561997,77.115659696,28.753561700,77.115654800,0.4784
1771590342.978918076,28.753561912,77.115659629,28.753561700,77.115654800,0.4714
1771590343.012290716,28.753561855,77.115659493,28.753561700,77.115654800,0.4578
1771590343.045663595,28.753561917,77.115659368,28.753561700,77.115654800,0.4460
1771590343.245900154,28.753547788,77.115653516,28.753561800,77.115654600,1.5617
1771590343.346018553,28.753562075,77.115657918,28.753561800,77.115654200,0.3637
1771590343.412764311,28.753561063,77.115657989,28.753561800,77.115654200,0.3783
1771590343.446137190,28.753560719,77.115657591,28.753561800,77.115654200,0.3518
1771590343.479510069,28.753560297,77.115657672,28.753561800,77.115654200,0.3775
1771590343.512882710,28.753560037,77.115657711,28.753561800,77.115654200,0.3945
1771590343.679748058,28.753562278,77.115656903,28.753562100,77.115653700,0.3129
1771590343.746493340,28.753563103,77.115656576,28.753562100,77.115653700,0.3018
1771590343.813239098,28.753564124,77.115656883,28.753562100,77.115653700,0.3834
1771590343.846611738,28.753564192,77.115654704,28.753562400,77.115653500,0.2313
1771590343.879984617,28.753564578,77.115654597,28.753562400,77.115653500,0.2648
1771590345.348387003,28.753567037,77.115648176,28.753562700,77.115651800,0.5978
1771590345.381758690,28.753567360,77.115648201,28.753562700,77.115651800,0.6257
1771590345.415130615,28.753567817,77.115648272,28.753562700,77.115651800,0.6648
1771590345.481874466,28.753568286,77.115647873,28.753562700,77.115651800,0.7296
1771590345.515246391,28.753568396,77.115647811,28.753562700,77.115651800,0.7433
1771590345.548617840,28.753568472,77.115647686,28.753562700,77.115651800,0.7568
1771590345.581989765,28.753567768,77.115646317,28.753563100,77.115651400,0.7176
1771590345.615361691,28.753567583,77.115646359,28.753563100,77.115651400,0.6999
1771590345.648733377,28.753567461,77.115646606,28.753563100,77.115651400,0.6734
1771590345.682105064,28.753567265,77.115646603,28.753563100,77.115651400,0.6582
1771590345.715477705,28.753567279,77.115646427,28.753563100,77.115651400,0.6715
1771590345.748849392,28.753567282,77.115646470,28.753563100,77.115651400,0.6687
1771590345.782221079,28.753567318,77.115646341,28.753563100,77.115651400,0.6806
1771590345.815592766,28.753567158,77.115646227,28.753563100,77.115651400,0.6767
1771590345.848964453,28.753567575,77.115645931,28.753563300,77.115650800,0.6718
1771590345.882336140,28.753567384,77.115645583,28.753563300,77.115650800,0.6818
1771590345.915707827,28.753567369,77.115645535,28.753563300,77.115650800,0.6842
1771590345.982450962,28.753566806,77.115645312,28.753563300,77.115650800,0.6620
1771590346.082565546,28.753566495,77.115643811,28.753563500,77.115649900,0.6806
1771590346.115936995,28.753566298,77.115643647,28.753563500,77.115649900,0.6844
1771590346.182679892,28.753566188,77.115642625,28.753563500,77.115649900,0.7696
1771590346.216051340,28.753566095,77.115642126,28.753563500,77.115649900,0.8109
1771590346.249422789,28.753565580,77.115641694,28.753563500,77.115649900,0.8327
1771590346.416286469,28.753567828,77.115634465,28.753563800,77.115648800,1.4674
1771590346.449658871,28.753567217,77.115634217,28.753563800,77.115648800,1.4715
1771590346.516404390,28.753566492,77.115633662,28.753563800,77.115648800,1.5058
1771590346.549776793,28.753565910,77.115633690,28.753563800,77.115648800,1.4915
1771590346.583149433,28.753568634,77.115631862,28.753563800,77.115648000,1.6625
1771590346.616522074,28.753568234,77.115632808,28.753563800,77.115648000,1.5609
1771590346.649894714,28.753568227,77.115633122,28.753563800,77.115648000,1.5317
1771590346.716639996,28.753568358,77.115635017,28.753563800,77.115648000,1.3634
1771590346.850130081,28.753565153,77.115640519,28.753563400,77.115647500,0.7079
1771590346.916875362,28.753565069,77.115641370,28.753563400,77.115647500,0.6257
1771590346.950247765,28.753565177,77.115641609,28.753563400,77.115647500,0.6073
1771590346.983620405,28.753565228,77.115641702,28.753563400,77.115647500,0.6006
1771590347.016992807,28.753565259,77.115641672,28.753563400,77.115647500,0.6046
1771590347.050365210,28.753565205,77.115641612,28.753563400,77.115647500,0.6081
1771590347.083737850,28.753563776,77.115641289,28.753562900,77.115647300,0.5940
1771590347.117111444,28.753563888,77.115641454,28.753562900,77.115647300,0.5804
1771590347.150483847,28.753563658,77.115641781,28.753562900,77.115647300,0.5446
1771590347.183856487,28.753563449,77.115641613,28.753562900,77.115647300,0.5577
1771590347.217228651,28.753563275,77.115641559,28.753562900,77.115647300,0.5612
1771590347.250601292,28.753563064,77.115641795,28.753562900,77.115647300,0.5369
1771590347.283973932,28.753563043,77.115641706,28.753562900,77.115647300,0.5456
1771590347.317346573,28.753562866,77.115641433,28.753562300,77.115647100,0.5560
1771590347.384092093,28.753561552,77.115641395,28.753562300,77.115647100,0.5624
1771590347.417464733,28.753560753,77.115641070,28.753562300,77.115647100,0.6125
1771590347.450837612,28.753559778,77.115641042,28.753562300,77.115647100,0.6538
1771590348.885906219,28.753562016,77.115645483,28.753562300,77.115647100,0.1608
1771590348.952656507,28.753561813,77.115645463,28.753562300,77.115647100,0.1685
1771590348.986031771,28.753561831,77.115645904,28.753562300,77.115647100,0.1277
1771590349.052782297,28.753561693,77.115646281,28.753562300,77.115647100,0.1046
1771590349.086157799,28.753559830,77.115651295,28.753560000,77.115649400,0.1857
1771590349.119533062,28.753559926,77.115651714,28.753560000,77.115649400,0.2258
1771590349.152908087,28.753559770,77.115651816,28.753560000,77.115649400,0.2369
1771590349.186283588,28.753560159,77.115651834,28.753560000,77.115649400,0.2379
1771590349.253035307,28.753560155,77.115651909,28.753560000,77.115649400,0.2452
1771590349.286409855,28.753560188,77.115651852,28.753560000,77.115649400,0.2399
1771590349.353156805,28.753560308,77.115652353,28.753560000,77.115650000,0.2319
1771590349.386529922,28.753560781,77.115652079,28.753560000,77.115650000,0.2205
1771590349.586770296,28.753561515,77.115651340,28.753560100,77.115650600,0.1731
1771590349.653516769,28.753561662,77.115650938,28.753560100,77.115650600,0.1768
1771590349.686890364,28.753561886,77.115650670,28.753560100,77.115650600,0.1988
1771590349.753637075,28.753562124,77.115650894,28.753560100,77.115650600,0.2268
1771590349.787010431,28.753562275,77.115650651,28.753560100,77.115650600,0.2419
1771590349.820383787,28.753562292,77.115650640,28.753560100,77.115650600,0.2437
1771590349.887130260,28.753562460,77.115650812,28.753560300,77.115651300,0.2449
1771590349.920504808,28.753562445,77.115650864,28.753560300,77.115651300,0.2423
1771590350.020624638,28.753563028,77.115650828,28.753560300,77.115651300,0.3068
1771590350.187491417,28.753563511,77.115649923,28.753560500,77.115651600,0.3726
1771590350.220864773,28.753563483,77.115649771,28.753560500,77.115651600,0.3766
1771590350.254238367,28.753563420,77.115649700,28.753560500,77.115651600,0.3738
1771590350.320987225,28.753563208,77.115649713,28.753560500,77.115651600,0.3529
1771590350.354362249,28.753563644,77.115649673,28.753560500,77.115651900,0.4115
